NeighborhoodInfoNAME,total_incidents,population,n_beats,n_districts,incidents_per_1000,log_population,cluster
10th Street N.W./Page St,3152,1006.0,1,1,3133.200795228628,6.913737350659685,1.0
29 North,46504,488.0,1,1,95295.08196721312,6.1903154058531475,0.0
5th Street,244,775.0,1,1,314.83870967741933,6.652863029353347,1.0
BRSC Area,9154,700.0,1,1,13077.142857142857,6.551080335043404,1.0
Belmont,29415,4327.0,1,1,6798.012479778137,8.372629740224884,0.0
Blue Ridge/Rugby Ave,1355,1398.0,1,1,969.241773962804,7.242797922793756,1.0
Charlottesville High,585,998.0,1,1,586.1723446893787,6.905753276311464,1.0
Downtown,5262,300.0,1,1,17540.0,5.703782474656201,1.0
Fifeville,3812,2579.0,1,1,1478.0922838309425,7.8551570058813445,1.0
Fry's Spring,1671,3604.0,1,1,463.65149833518313,8.189799618728228,1.0
Garrett,4756,485.0,1,1,9806.18556701031,6.184148890937483,1.0
Greenbrier,128,1451.0,1,1,88.21502412129566,7.280008252884188,1.0
Jefferson Park Ave,9401,3504.0,1,1,2682.933789954338,8.161660452056282,1.0
Johnson Village,8444,1333.0,1,1,6334.583645911477,7.195187320178709,1.0
Kellytown/Rugby Heights,1347,670.0,1,1,2010.4477611940297,6.507277712385012,1.0
Lewis Mountain,793,1096.0,1,1,723.5401459854015,6.999422467507961,1.0
Little High,4913,654.0,1,1,7512.23241590214,6.483107351457199,1.0
Locust Grove,1030,1068.0,1,1,964.4194756554308,6.97354301952014,1.0
Longwood Dr,4074,983.0,1,1,4144.455747711088,6.890609120147166,1.0
Mall,9130,29.0,1,1,314827.5862068966,3.367295829986474,2.0
Martha Jefferson,480,1167.0,1,1,411.31105398457584,7.062191632286556,1.0
North Downtown,906,1634.0,1,1,554.4675642594859,7.3987862754199485,1.0
North East,448,1454.0,1,1,308.1155433287483,7.282073658093465,1.0
Prospect\Orangedale Ave,270,1573.0,1,1,171.64653528289892,7.360739903058278,1.0
Ridge St,5973,1686.0,1,1,3542.70462633452,7.430114138561801,1.0
Rosehill Dr/Birdwood,2024,824.0,1,1,2456.3106796116504,6.714170529909472,1.0
The Corner,127,9.0,1,1,14111.111111111111,2.1972245773362196,1.0
The Meadows,884,778.0,1,1,1136.2467866323907,6.656726524178391,1.0
Venable,18780,5081.0,1,1,3696.12281047038,8.533263371593732,0.0
West Main/Starr Hill,42341,1333.0,1,1,31763.69092273068,7.195187320178709,0.0
Westhaven,5381,466.0,1,1,11547.210300429186,6.144185634125646,1.0
Woolen Mills,1676,903.0,1,1,1856.0354374307865,6.805722553416985,1.0
