NeighborhoodInfoNAME,total_incidents,population,n_beats,n_districts,incidents_per_1000
10th Street N.W./Page St,3152,1006.0,1,1,3133.200795228628
29 North,46504,488.0,1,1,95295.08196721312
5th Street,244,775.0,1,1,314.83870967741933
BRSC,2756,0.0,1,1,inf
BRSC Area,9154,700.0,1,1,13077.142857142857
Belmont,29415,4327.0,1,1,6798.012479778137
Blue Ridge/Rugby Ave,1355,1398.0,1,1,969.241773962804
Charlottesville High,585,998.0,1,1,586.1723446893787
Downtown,5262,300.0,1,1,17540.0
Fifeville,3812,2579.0,1,1,1478.0922838309423
Fry's Spring,1671,3604.0,1,1,463.65149833518313
Garrett,4756,485.0,1,1,9806.18556701031
Greenbrier,128,1451.0,1,1,88.21502412129566
Jefferson Park Ave,9401,3504.0,1,1,2682.933789954338
Johnson Village,8444,1333.0,1,1,6334.583645911477
Kellytown/Rugby Heights,1347,670.0,1,1,2010.4477611940297
Lewis Mountain,793,1096.0,1,1,723.5401459854015
Little High,4913,654.0,1,1,7512.23241590214
Locust Grove,1030,1068.0,1,1,964.4194756554307
Longwood Dr,4074,983.0,1,1,4144.455747711088
Mall,9130,29.0,1,1,314827.5862068966
Martha Jefferson,480,1167.0,1,1,411.31105398457584
North Downtown,906,1634.0,1,1,554.4675642594859
North East,448,1454.0,1,1,308.1155433287483
Prospect\Orangedale Ave,270,1573.0,1,1,171.64653528289892
Ridge St,5973,1686.0,1,1,3542.7046263345196
Rosehill Dr/Birdwood,2024,824.0,1,1,2456.3106796116504
The Corner,127,9.0,1,1,14111.111111111111
The Meadows,884,778.0,1,1,1136.2467866323907
Venable,18780,5081.0,1,1,3696.12281047038
West Main/Starr Hill,42341,1333.0,1,1,31763.690922730682
Westhaven,5381,466.0,1,1,11547.210300429186
Woolen Mills,1676,903.0,1,1,1856.0354374307863
